Record_ID,Collection_Date,Zone,Area,Waste_Type,Waste_Collected_KG,Recyclable_KG,Collection_Status,Collection_Delay_Min,Distance_KM,Workers_Count,Disposal_Method,Disposal_Cost,Complaint_Count,Recycling_Rate_Pct,Cost_per_KG,Month,Year
WM100041,2023-12-23,East,Eastwood,Plastic,28.1,14.5,Completed,0,14.6,2,Recycling,95.44,0,51.6,3.4,2023-12,2023
WM100042,2024-06-11,North,Pine Valley,Organic,61.1,8.0,Delayed,33,6.3,4,Composting,141.68,0,13.09,2.32,2024-06,2024
WM100043,2023-02-10,Central,Central Square,Organic,61.5,8.2,Delayed,58,3.3,4,Composting,134.42,1,13.33,2.19,2023-02,2023
WM100044,2024-10-10,South,Harbor South,Paper,26.9,16.9,Delayed,16,7.4,3,Recycling,82.79,1,62.83,3.08,2024-10,2024
WM100045,2023-09-15,West,Westfield,Organic,82.3,7.3,Completed,0,6.5,4,Landfill,125.17,0,8.87,1.52,2023-09,2023
WM100046,2024-01-01,South,Green Meadows,Organic,34.1,1.7,Completed,0,9.1,3,Landfill,54.19,0,4.99,1.59,2024-01,2024
WM100047,2024-07-08,East,Riverside East,Organic,71.7,0.7,Completed,0,5.3,5,Composting,132.72,0,0.98,1.85,2024-07,2024
WM100048,2023-03-07,East,Orchid Nagar,Plastic,42.5,26.6,Completed,0,9.2,3,Recycling,138.47,1,62.59,3.26,2023-03,2023
WM100049,2023-07-27,North,Rosewood Park,Plastic,41.0,19.9,Completed,0,19.5,3,Recycling,132.52,0,48.54,3.23,2023-07,2023
WM100050,2023-09-02,Central,City Center,Organic,107.5,15.7,Completed,0,13.8,4,Waste-to-Energy,438.99,0,14.6,4.08,2023-09,2023
WM100051,2023-08-31,West,Westfield,Organic,100.6,8.0,Completed,0,14.5,4,Composting,226.42,0,7.95,2.25,2023-08,2023
WM100052,2024-08-11,Central,Downtown Core,Plastic,20.7,14.2,Completed,0,4.7,3,Recycling,67.88,0,68.6,3.28,2024-08,2024
WM100053,2024-12-31,Central,Market District,Plastic,27.2,17.1,Completed,0,4.4,2,Recycling,96.2,0,62.87,3.54,2024-12,2024
WM100054,2024-01-16,East,Maple Court,Plastic,27.7,15.1,Completed,0,4.5,2,Recycling,78.27,1,54.51,2.83,2024-01,2024
WM100055,2023-08-11,Central,City Center,Organic,68.7,6.1,Completed,0,6.3,4,Composting,147.44,1,8.88,2.15,2023-08,2023
WM100056,2023-01-21,North,Rosewood Park,Metal,21.8,16.5,Delayed,55,15.7,3,Recycling,73.72,2,75.69,3.38,2023-01,2023
WM100057,2023-05-27,North,Lakeview North,Plastic,44.2,21.0,Completed,0,4.3,2,Recycling,171.96,1,47.51,3.89,2023-05,2023
WM100058,2024-01-03,North,Silver Hills,Paper,16.2,10.6,Completed,0,4.0,3,Recycling,58.62,0,65.43,3.62,2024-01,2024
WM100059,2023-11-09,South,Green Meadows,Metal,15.6,10.3,Completed,0,7.6,3,Landfill,17.28,0,66.03,1.11,2023-11,2023
WM100060,2024-08-11,South,Southport,Mixed Waste,37.4,1.6,Completed,0,9.5,3,Waste-to-Energy,150.74,1,4.28,4.03,2024-08,2024
WM100061,2023-11-12,South,Harbor South,Mixed Waste,61.6,0.8,Delayed,10,8.1,3,Recycling,222.22,0,1.3,3.61,2023-11,2023
WM100062,2024-02-07,Central,Central Square,Plastic,22.8,12.0,Completed,0,13.1,2,Landfill,34.31,0,52.63,1.5,2024-02,2024
WM100063,2024-03-23,South,Sunset Colony,Paper,19.2,9.7,Delayed,65,12.0,2,Recycling,44.71,1,50.52,2.33,2024-03,2024
WM100064,2024-06-30,South,Harbor South,Organic,100.5,1.0,Completed,0,5.3,6,Composting,197.12,0,1.0,1.96,2024-06,2024
WM100065,2023-05-06,East,Orchid Nagar,Mixed Waste,49.6,5.4,Delayed,33,7.2,4,Landfill,69.02,1,10.89,1.39,2023-05,2023
WM100066,2024-05-10,North,Pine Valley,Organic,55.7,0.6,Completed,0,13.4,3,Composting,120.03,0,1.08,2.15,2024-05,2024
WM100067,2024-08-21,Central,Market District,Metal,17.8,14.5,Completed,0,1.6,3,Recycling,64.14,0,81.46,3.6,2024-08,2024
WM100068,2024-11-30,North,Pine Valley,Plastic,29.7,14.8,Completed,0,5.6,3,Recycling,86.95,0,49.83,2.93,2024-11,2024
WM100069,2023-02-14,Central,Downtown Core,Organic,54.9,3.8,Completed,0,8.1,3,Waste-to-Energy,210.26,1,6.92,3.83,2023-02,2023
WM100070,2023-11-27,West,West End,Plastic,52.7,29.0,Completed,0,4.4,4,Recycling,133.39,0,55.03,2.53,2023-11,2023
WM100071,2023-03-13,North,Rosewood Park,Paper,32.4,19.8,Completed,0,4.6,3,Recycling,112.93,1,61.11,3.49,2023-03,2023
WM100072,2024-12-28,North,Northgate,Mixed Waste,57.8,9.4,Completed,0,5.1,5,Waste-to-Energy,217.78,0,16.26,3.77,2024-12,2024
WM100073,2023-04-08,Central,City Center,Organic,63.2,7.7,Completed,0,7.4,5,Composting,125.83,0,12.18,1.99,2023-04,2023
WM100074,2023-09-28,West,Hilltop West,Mixed Waste,54.7,8.6,Completed,0,3.2,4,Landfill,105.93,1,15.72,1.94,2023-09,2023
WM100075,2024-02-11,West,Westfield,Metal,30.2,20.6,Missed,80,4.4,4,Recycling,111.39,3,68.21,3.69,2024-02,2024
WM100076,2024-03-19,West,Hilltop West,Paper,34.2,20.2,Delayed,43,3.7,3,Recycling,94.13,3,59.06,2.75,2024-03,2024
WM100077,2023-04-01,North,Lakeview North,Organic,113.1,1.8,Completed,0,10.2,6,Landfill,169.32,0,1.59,1.5,2023-04,2023
WM100078,2024-10-15,South,Palm Residency,Metal,24.5,16.9,Completed,0,5.8,3,Recycling,82.11,1,68.98,3.35,2024-10,2024
WM100079,2023-04-27,North,Silver Hills,Glass,20.0,10.8,Completed,0,7.4,2,Recycling,64.6,0,54.0,3.23,2023-04,2023
WM100080,2024-05-28,Central,Market District,Plastic,24.6,15.0,Completed,0,16.9,3,Landfill,27.38,0,60.98,1.11,2024-05,2024
WM100081,2023-02-12,West,Hilltop West,Mixed Waste,35.4,6.2,Missed,106,18.3,4,Landfill,51.32,2,17.51,1.45,2023-02,2023
WM100082,2023-03-12,South,Southport,Paper,27.8,13.5,Completed,0,10.4,3,Recycling,86.59,0,48.56,3.11,2023-03,2023
WM100083,2023-05-24,North,Pine Valley,Organic,37.8,2.7,Completed,0,8.0,3,Landfill,64.28,0,7.14,1.7,2023-05,2023
WM100084,2023-12-08,South,Sunset Colony,Organic,54.3,0.5,Completed,0,7.2,4,Composting,97.09,0,0.92,1.79,2023-12,2023
WM100085,2024-12-26,South,Harbor South,Glass,48.9,30.9,Completed,0,24.8,4,Recycling,164.42,1,63.19,3.36,2024-12,2024
WM100086,2023-04-17,West,Hilltop West,Organic,119.1,3.1,Completed,0,3.8,6,Composting,305.03,2,2.6,2.56,2023-04,2023
WM100087,2024-01-21,West,West End,Organic,79.6,8.1,Completed,0,10.3,5,Composting,185.53,0,10.18,2.33,2024-01,2024
WM100088,2024-03-31,Central,Central Square,Plastic,43.7,25.8,Completed,0,5.6,5,Waste-to-Energy,125.92,0,59.04,2.88,2024-03,2024
WM100089,2023-10-21,East,Riverside East,Glass,23.5,14.0,Completed,0,10.6,3,Waste-to-Energy,92.67,0,59.57,3.94,2023-10,2023
WM100090,2023-06-25,North,Rosewood Park,Mixed Waste,60.1,8.0,Completed,0,6.1,3,Landfill,114.64,0,13.31,1.91,2023-06,2023
WM100091,2023-04-17,West,West End,Organic,122.2,7.6,Delayed,50,2.5,6,Waste-to-Energy,559.98,0,6.22,4.58,2023-04,2023
WM100092,2023-03-27,West,Golden West,Mixed Waste,32.2,5.9,Completed,0,4.5,4,Waste-to-Energy,138.56,1,18.32,4.3,2023-03,2023
WM100093,2024-05-24,East,Riverside East,Paper,33.3,21.0,Completed,0,6.7,4,Recycling,103.69,1,63.06,3.11,2024-05,2024
WM100094,2023-08-15,West,Hilltop West,Mixed Waste,53.1,9.1,Completed,0,3.9,3,Landfill,87.52,0,17.14,1.65,2023-08,2023
WM100095,2024-08-16,East,Eastwood,Metal,22.6,16.7,Completed,0,6.2,2,Recycling,77.99,0,73.89,3.45,2024-08,2024
WM100096,2023-11-25,East,Eastwood,Plastic,37.1,19.0,Completed,0,5.8,2,Waste-to-Energy,146.22,0,51.21,3.94,2023-11,2023
WM100097,2023-08-29,East,Maple Court,Paper,16.3,8.8,Completed,0,13.9,2,Recycling,54.91,0,53.99,3.37,2023-08,2023
WM100098,2023-01-02,North,Pine Valley,Mixed Waste,41.2,3.6,Delayed,63,7.1,3,Landfill,53.84,1,8.74,1.31,2023-01,2023
WM100099,2023-09-08,North,Pine Valley,Paper,17.7,9.4,Completed,0,5.9,2,Recycling,54.47,0,53.11,3.08,2023-09,2023
WM100100,2023-02-11,North,Lakeview North,Plastic,43.9,24.6,Completed,0,16.3,2,Recycling,126.56,0,56.04,2.88,2023-02,2023
WM100101,2024-03-01,West,Hilltop West,Plastic,43.9,26.8,Completed,0,4.9,5,Recycling,140.38,0,61.05,3.2,2024-03,2024
WM100102,2023-03-22,South,Palm Residency,Organic,129.0,8.6,Completed,0,3.2,5,Composting,264.01,0,6.67,2.05,2023-03,2023
WM100103,2024-05-02,East,Orchid Nagar,Mixed Waste,51.5,3.2,Completed,0,10.2,3,Waste-to-Energy,198.86,0,6.21,3.86,2024-05,2024
WM100104,2023-09-19,Central,City Center,Paper,31.0,21.2,Completed,0,3.4,4,Waste-to-Energy,137.19,0,68.39,4.43,2023-09,2023
WM100105,2024-01-30,South,Sunset Colony,Organic,34.9,0.3,Delayed,56,11.7,3,Composting,61.63,2,0.86,1.77,2024-01,2024
WM100106,2024-12-09,South,Harbor South,Organic,107.6,1.1,Completed,0,6.4,5,Composting,237.37,0,1.02,2.21,2024-12,2024
WM100107,2023-09-05,West,Hilltop West,Glass,44.7,30.4,Completed,0,7.0,3,Recycling,159.79,0,68.01,3.57,2023-09,2023
WM100108,2023-11-26,South,Southport,Mixed Waste,50.4,5.0,Delayed,48,9.5,3,Landfill,86.22,0,9.92,1.71,2023-11,2023
WM100109,2024-07-01,North,Silver Hills,Plastic,30.2,17.2,Delayed,48,2.9,3,Recycling,102.82,3,56.95,3.4,2024-07,2024
WM100110,2024-09-06,South,Southport,Mixed Waste,43.0,2.8,Delayed,19,5.1,4,Waste-to-Energy,201.3,0,6.51,4.68,2024-09,2024
WM100111,2023-04-08,North,Rosewood Park,Plastic,34.6,17.3,Missed,92,5.5,4,Recycling,139.39,2,50.0,4.03,2023-04,2023
WM100112,2023-05-25,Central,Downtown Core,Glass,29.3,21.6,Completed,0,6.4,4,Recycling,85.41,0,73.72,2.92,2023-05,2023
WM100113,2023-05-07,Central,City Center,Organic,107.8,7.7,Completed,0,7.0,6,Composting,256.47,0,7.14,2.38,2023-05,2023
WM100114,2023-10-31,West,Cedar Town,Plastic,43.9,26.6,Completed,0,13.7,2,Recycling,137.76,1,60.59,3.14,2023-10,2023
WM100115,2024-08-01,Central,Central Square,Paper,25.1,17.6,Completed,0,9.6,3,Recycling,84.99,0,70.12,3.39,2024-08,2024
WM100116,2024-01-14,Central,City Center,Organic,111.1,4.9,Delayed,32,11.9,5,Landfill,189.9,1,4.41,1.71,2024-01,2024
WM100117,2023-05-27,North,Northgate,Organic,92.2,0.9,Completed,0,4.3,5,Composting,196.17,0,0.98,2.13,2023-05,2023
WM100118,2023-03-22,Central,Downtown Core,Organic,50.0,0.7,Completed,0,9.1,4,Landfill,72.65,2,1.4,1.45,2023-03,2023
WM100119,2023-08-30,East,Eastwood,Plastic,28.2,15.3,Completed,0,4.3,3,Recycling,90.4,1,54.26,3.21,2023-08,2023
WM100120,2024-07-30,Central,Downtown Core,Glass,24.9,17.3,Missed,87,5.7,4,Recycling,84.76,4,69.48,3.4,2024-07,2024
WM100121,2024-08-05,Central,City Center,Mixed Waste,66.1,13.9,Completed,0,3.4,6,Landfill,108.8,1,21.03,1.65,2024-08,2024
WM100122,2024-07-01,South,Harbor South,Organic,77.6,0.9,Missed,163,8.8,5,Composting,172.85,0,1.16,2.23,2024-07,2024
WM100123,2023-03-08,North,Lakeview North,Organic,78.0,5.3,Completed,0,5.3,3,Composting,190.05,0,6.79,2.44,2023-03,2023
WM100124,2024-08-17,South,Palm Residency,Organic,115.4,1.2,Missed,95,8.1,5,Landfill,194.46,1,1.04,1.69,2024-08,2024
WM100125,2024-11-12,East,Eastwood,Mixed Waste,39.0,2.7,Completed,0,5.6,2,Waste-to-Energy,154.15,0,6.92,3.95,2024-11,2024
WM100126,2024-04-19,Central,Market District,Organic,77.6,4.9,Completed,0,6.6,4,Composting,165.06,0,6.31,2.13,2024-04,2024
WM100127,2024-08-01,Central,Market District,Glass,18.5,14.6,Completed,0,13.2,3,Recycling,51.92,0,78.92,2.81,2024-08,2024
WM100128,2024-09-01,North,Northgate,Organic,85.1,6.7,Completed,0,5.4,4,Composting,149.0,0,7.87,1.75,2024-09,2024
WM100129,2024-03-08,East,East Ridge,Plastic,36.7,21.2,Completed,0,5.8,4,Recycling,127.45,2,57.77,3.47,2024-03,2024
WM100130,2023-10-29,South,Southport,Plastic,31.3,15.9,Completed,0,2.0,3,Recycling,94.64,0,50.8,3.02,2023-10,2023
WM100131,2024-12-20,South,Harbor South,Plastic,47.2,26.3,Completed,0,9.5,3,Waste-to-Energy,234.86,1,55.72,4.98,2024-12,2024
WM100132,2024-01-10,North,Silver Hills,Paper,19.6,12.9,Completed,0,7.1,2,Recycling,58.99,0,65.82,3.01,2024-01,2024
WM100133,2024-07-28,South,Harbor South,Plastic,44.9,24.2,Completed,0,3.8,4,Waste-to-Energy,179.31,0,53.9,3.99,2024-07,2024
WM100134,2023-03-19,Central,Market District,Plastic,24.3,15.9,Completed,0,16.7,2,Recycling,86.62,1,65.43,3.56,2023-03,2023
WM100135,2023-01-30,South,Palm Residency,Organic,82.9,0.8,Completed,0,3.8,5,Landfill,128.57,1,0.97,1.55,2023-01,2023
WM100136,2023-12-18,East,East Ridge,Plastic,37.7,22.2,Completed,0,8.2,2,Recycling,109.66,0,58.89,2.91,2023-12,2023
WM100137,2023-04-25,West,Hilltop West,Glass,28.2,19.6,Delayed,43,15.6,2,Recycling,88.06,2,69.5,3.12,2023-04,2023
WM100138,2023-11-28,South,Sunset Colony,Plastic,23.5,11.1,Completed,0,8.6,3,Recycling,85.95,0,47.23,3.66,2023-11,2023
WM100139,2024-05-19,Central,City Center,Mixed Waste,50.6,13.6,Delayed,63,15.0,3,Waste-to-Energy,214.15,0,26.88,4.23,2024-05,2024
WM100140,2024-12-31,Central,Central Square,Organic,63.6,11.0,Completed,0,10.3,2,Landfill,88.46,1,17.3,1.39,2024-12,2024
WM100141,2023-06-03,South,Palm Residency,Metal,30.9,21.5,Completed,0,9.1,3,Recycling,82.21,0,69.58,2.66,2023-06,2023
WM100142,2024-06-18,East,Maple Court,Paper,27.3,18.9,Missed,116,7.7,4,Recycling,104.64,2,69.23,3.83,2024-06,2024
WM100143,2024-01-04,South,Sunset Colony,Plastic,31.8,15.4,Completed,0,6.3,3,Waste-to-Energy,146.03,1,48.43,4.59,2024-01,2024
WM100144,2024-12-26,South,Green Meadows,Organic,32.3,0.3,Completed,0,3.8,4,Composting,64.14,0,0.93,1.99,2024-12,2024
WM100145,2024-10-21,North,Silver Hills,Organic,63.4,0.6,Completed,0,7.6,5,Composting,108.94,0,0.95,1.72,2024-10,2024
WM100146,2023-12-24,East,Riverside East,Plastic,19.2,10.3,Completed,0,14.2,2,Recycling,54.2,0,53.65,2.82,2023-12,2023
WM100147,2023-10-29,East,East Ridge,Mixed Waste,54.4,14.2,Completed,0,8.5,3,Waste-to-Energy,257.8,1,26.1,4.74,2023-10,2023
WM100148,2024-12-20,North,Lakeview North,Mixed Waste,58.1,5.1,Delayed,63,5.2,4,Landfill,94.38,0,8.78,1.62,2024-12,2024
WM100149,2024-11-01,South,Southport,Mixed Waste,48.0,4.4,Completed,0,6.8,4,Waste-to-Energy,185.31,0,9.17,3.86,2024-11,2024
WM100150,2024-03-26,Central,City Center,Organic,71.3,12.3,Delayed,54,5.8,5,Composting,146.61,0,17.25,2.06,2024-03,2024
WM100151,2023-11-03,South,Southport,Organic,61.4,1.6,Completed,0,6.1,3,Landfill,110.0,0,2.61,1.79,2023-11,2023
WM100152,2024-11-09,North,Northgate,Glass,35.1,26.5,Delayed,29,11.4,3,Recycling,112.89,0,75.5,3.22,2024-11,2024
WM100153,2023-03-04,East,Orchid Nagar,Mixed Waste,74.8,12.2,Completed,0,8.4,4,Landfill,72.39,0,16.31,0.97,2023-03,2023
WM100154,2023-10-03,Central,City Center,Organic,77.2,17.0,Completed,0,7.5,3,Composting,159.69,0,22.02,2.07,2023-10,2023
WM100155,2024-05-25,South,Palm Residency,Plastic,53.3,28.0,Completed,0,5.4,4,Landfill,91.66,0,52.53,1.72,2024-05,2024
WM100156,2024-06-18,West,Westfield,Metal,22.4,14.5,Completed,0,9.1,2,Recycling,74.65,0,64.73,3.33,2024-06,2024
WM100157,2024-12-13,West,Golden West,Plastic,38.2,20.5,Delayed,47,8.9,3,Recycling,123.05,0,53.66,3.22,2024-12,2024
WM100158,2024-01-22,South,Green Meadows,Metal,11.3,6.7,Completed,0,5.3,4,Recycling,33.65,0,59.29,2.98,2024-01,2024
WM100159,2024-04-02,West,Hilltop West,Organic,107.4,8.6,Completed,0,4.4,5,Composting,256.27,0,8.01,2.39,2024-04,2024
WM100160,2024-02-12,South,Green Meadows,Glass,23.0,14.4,Completed,0,20.2,3,Recycling,79.24,2,62.61,3.45,2024-02,2024
WM100161,2024-12-27,West,West End,Plastic,39.4,24.5,Completed,0,6.4,4,Recycling,121.91,0,62.18,3.09,2024-12,2024
WM100162,2024-01-21,West,Hilltop West,Glass,62.6,45.2,Delayed,36,5.8,3,Recycling,193.65,2,72.2,3.09,2024-01,2024
WM100163,2024-01-25,East,Eastwood,Organic,58.4,4.1,Completed,0,10.9,4,Composting,105.91,0,7.02,1.81,2024-01,2024
WM100164,2023-08-17,North,Lakeview North,Glass,50.3,31.7,Completed,0,5.1,4,Landfill,72.25,0,63.02,1.44,2023-08,2023
WM100165,2023-08-15,Central,City Center,Glass,44.2,32.0,Completed,0,10.2,4,Landfill,80.03,0,72.4,1.81,2023-08,2023
WM100166,2023-11-23,South,Harbor South,Plastic,59.4,27.9,Completed,0,9.3,6,Recycling,185.26,0,46.97,3.12,2023-11,2023
WM100167,2023-12-01,North,Silver Hills,Mixed Waste,47.8,5.8,Delayed,38,8.0,4,Waste-to-Energy,242.91,1,12.13,5.08,2023-12,2023
WM100168,2023-10-04,North,Pine Valley,Organic,65.1,1.4,Missed,122,13.6,4,Composting,143.04,2,2.15,2.2,2023-10,2023
WM100169,2023-08-18,East,Eastwood,Paper,27.7,18.7,Completed,0,12.2,3,Landfill,42.65,0,67.51,1.54,2023-08,2023
WM100170,2024-12-27,West,Golden West,Mixed Waste,32.6,6.2,Delayed,10,3.8,3,Landfill,47.12,0,19.02,1.45,2024-12,2024
WM100171,2023-06-06,North,Silver Hills,Mixed Waste,35.9,4.9,Delayed,30,11.1,3,Landfill,64.1,2,13.65,1.79,2023-06,2023
WM100172,2023-01-13,East,Orchid Nagar,Paper,21.5,15.6,Completed,0,4.0,2,Recycling,78.85,1,72.56,3.67,2023-01,2023
WM100173,2024-05-17,South,Harbor South,Mixed Waste,49.1,6.7,Completed,0,7.1,4,Waste-to-Energy,172.47,0,13.65,3.51,2024-05,2024
WM100174,2023-07-16,West,Westfield,Organic,84.9,6.7,Delayed,20,3.8,6,Composting,202.0,0,7.89,2.38,2023-07,2023
WM100175,2024-09-14,North,Pine Valley,Paper,23.5,13.1,Completed,0,3.1,4,Landfill,37.35,0,55.74,1.59,2024-09,2024
WM100176,2024-09-06,West,West End,Mixed Waste,41.8,12.5,Completed,0,8.4,4,Landfill,62.68,0,29.9,1.5,2024-09,2024
WM100177,2023-04-13,South,Palm Residency,Mixed Waste,48.7,5.9,Completed,0,11.6,4,Waste-to-Energy,206.27,2,12.11,4.24,2023-04,2023
WM100178,2023-06-19,Central,Market District,Paper,10.6,7.0,Completed,0,17.0,2,Recycling,36.28,0,66.04,3.42,2023-06,2023
WM100179,2023-04-19,North,Rosewood Park,Organic,109.9,1.1,Completed,0,7.6,7,Composting,237.46,0,1.0,2.16,2023-04,2023
WM100180,2024-01-11,South,Green Meadows,Organic,41.2,0.4,Completed,0,11.6,3,Composting,72.03,0,0.97,1.75,2024-01,2024
WM100181,2023-05-06,North,Northgate,Mixed Waste,57.5,6.7,Missed,48,8.8,4,Landfill,105.67,1,11.65,1.84,2023-05,2023
WM100182,2024-01-20,Central,Downtown Core,Mixed Waste,43.2,9.4,Missed,149,6.8,3,Waste-to-Energy,166.41,3,21.76,3.85,2024-01,2024
WM100183,2023-05-28,Central,Market District,Organic,52.9,3.5,Completed,0,3.7,4,Landfill,87.29,0,6.62,1.65,2023-05,2023
WM100184,2024-11-13,South,Green Meadows,Mixed Waste,31.6,3.3,Completed,0,9.8,3,Landfill,52.77,0,10.44,1.67,2024-11,2024
WM100185,2023-01-01,West,Golden West,Organic,72.2,5.4,Completed,0,10.8,4,Composting,159.04,0,7.48,2.2,2023-01,2023
WM100186,2024-07-05,Central,City Center,Organic,76.0,5.2,Completed,0,16.5,6,Landfill,107.77,0,6.84,1.42,2024-07,2024
WM100187,2023-01-07,East,Maple Court,Paper,24.2,14.2,Delayed,22,9.5,4,Recycling,76.41,3,58.68,3.16,2023-01,2023
